Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.935,0.065,BBC,0.0,63
0.3612,Wed Jul 11 19:52:13 +0000 2018,0.878,0.0,BBC,0.122,64
-0.296,Wed Jul 11 19:49:56 +0000 2018,0.694,0.306,BBC,0.0,65
0.0,Wed Jul 11 19:27:11 +0000 2018,1.0,0.0,BBC,0.0,66
-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.944,0.056,BBC,0.0,67
0.0,Wed Jul 11 19:16:46 +0000 2018,1.0,0.0,BBC,0.0,68
0.6705,Wed Jul 11 19:02:33 +0000 2018,0.776,0.0,BBC,0.224,69
0.3182,Wed Jul 11 19:02:02 +0000 2018,0.874,0.0,BBC,0.126,70
0.0,Wed Jul 11 18:50:03 +0000 2018,1.0,0.0,BBC,0.0,71
0.0,Wed Jul 11 18:06:07 +0000 2018,1.0,0.0,BBC,0.0,72
0.0,Wed Jul 11 18:00:11 +0000 2018,1.0,0.0,BBC,0.0,73
0.0,Wed Jul 11 17:57:05 +0000 2018,1.0,0.0,BBC,0.0,74
0.0,Wed Jul 11 17:01:04 +0000 2018,1.0,0.0,BBC,0.0,75
0.0,Wed Jul 11 16:01:05 +0000 2018,1.0,0.0,BBC,0.0,76
0.0,Wed Jul 11 13:03:06 +0000 2018,1.0,0.0,BBC,0.0,77
0.5994,Wed Jul 11 11:32:03 +0000 2018,0.692,0.0,BBC,0.308,78
0.3612,Wed Jul 11 11:02:02 +0000 2018,0.894,0.0,BBC,0.106,79
0.0,Wed Jul 11 09:53:20 +0000 2018,1.0,0.0,BBC,0.0,80
0.1967,Wed Jul 11 20:39:03 +0000 2018,0.905,0.0,BBC,0.095,81
0.0,Wed Jul 11 20:23:23 +0000 2018,1.0,0.0,BBC,0.0,82
-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.935,0.065,BBC,0.0,83
0.3612,Wed Jul 11 19:52:13 +0000 2018,0.878,0.0,BBC,0.122,84
-0.296,Wed Jul 11 19:49:56 +0000 2018,0.694,0.306,BBC,0.0,85
0.0,Wed Jul 11 19:27:11 +0000 2018,1.0,0.0,BBC,0.0,86
-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.944,0.056,BBC,0.0,87
0.0,Wed Jul 11 19:16:46 +0000 2018,1.0,0.0,BBC,0.0,88
0.6705,Wed Jul 11 19:02:33 +0000 2018,0.776,0.0,BBC,0.224,89
0.3182,Wed Jul 11 19:02:02 +0000 2018,0.874,0.0,BBC,0.126,90
0.0,Wed Jul 11 18:50:03 +0000 2018,1.0,0.0,BBC,0.0,91
